n/WolfgangNejdl,Wolfgang Nejdl,University of Hanover, Germany
329/6859,Emily L. Wang,None
168/6289,Luca Luceri,None
179/9317,Wenjie Yin,None
234/3995,Vibhor Agarwal,None
12/6462,Nishanth Sastry,University of Surrey, Department of Computer Science, Guildford, UK
325/4420,Yulin Yu,None
325/4385,Pui Yin Cheung,None
64/6974,Yong-Yeol Ahn,None
35/3993,Paramveer S. Dhillon,University of Michigan, MI, USA
276/1194,Jiaqing Yuan,None
51/7436,Yunhao Yuan,None
15/1669,Gaurav Verma,None
136/2568,Barbara Keller,None
159/2106,Talayeh Aledavood,None
02/4785,John Ziegler,None
g/MichaelGertz,Michael Gertz 0001,University of Heidelberg, Institute of Computer Science, Germany
338/0111,Karolis Zilius,None
45/9407,Tasos Spiliotopoulos,None
45/6478,Aad van Moorsel,University of Newcastle, School of Computing Science
11/5853,Yu-Ru Lin,University of Pittsburgh, PA, USA
57/4924,Meeyoung Cha,None
69/7497,Florian Meier 0001,Aalborg University, Denmark
259/6812,Elie Alhajjar,None
331/6006,Taylor Bradley,None
71/2744,Moonis Ali,None
316/9853,Richard Alvarez,None
247/4813,Paras Bhatt,None
317/0015,Xingmeng Zhao,None
133/1827,Anthony Rios,None
245/7510,Issa Annamoradnejad,None
331/6177,Rahimberdi Annamoradnejad,None
284/9104,Arshia Arya,None
124/9197,Soham De,None
219/1582,Dibyendu Mishra,None
293/6750,Gazal Shekhawat,None
132/8249,Ankur Sharma,None
237/7659,Anmol Panda,None
252/4368,Faisal M. Lalani,None
284/1202,Parantak Singh,None
241/6100,Ramaravind Kommiya Mothilal,None
284/9650,Rynaa Grover,None
317/0369,Sachita Nishal,None
250/1496,Saloni Dash,None
302/4813,Shehla Rashid Shora,None
267/7976,Syeda Zainab Akbar,None
63/5175,Joyojeet Pal,None
60/531,Siva K. Balasubramanian,None
67/500,Mustafa Bilgic 0001,Illinois Institute of Technology, Chicago, IL, USA
17/551,Aron Culotta,None
62/2987,Libby Hemphill,None
177/3018,Anita Nikolich,None
41/10567,Matthew A. Shapiro,Illinois Institute of Technology, Department of Social Sciences, Chicago, IL, USA
314/5859,Hanna Barakat,None
141/9244,Elissa M. Redmiles,Georgetown University, Washington D.C., USA
239/9325,Pinar Barlas,None
304/8111,Maximilian Krahn,None
26/3929,Styliani Kleanthous,None
74/6538,Kyriakos Kyriakou,None
200/7936,Nick Beauchamp,Northeastern University, Boston, MA, USA
300/9148,Jacob Beel,None
271/4360,Tong Xiang,None
130/2538,Sandeep Soni,None
125/2210,Austin R. Benson,None
180/5829,Nate Veldt,Texas A&M University, College Station, TX, USA
40/4457,David F. Gleich,Purdue University, West Lafayette, Department of Computer Science
264/2929,Pablo Beytía,None
203/0217,Pushkal Agarwal,None
85/9997,Miriam Redi,None
00/6451-7,Vivek K. Singh 0001,Rutgers University, Department of Library and Information Science, New Brunswick, NJ, USA
194/9380,Stephanie Brandl,None
145/9324,Daniel Hershcovich,None
30/2756,Anders Søgaard,None
331/5931,Marilena Budan,None
322/5783,Cory J. Cascalheira,None
189/1546,Shah Muhammad Hamdi,None
322/6285,Jillian R. Scheer,None
189/1588,Soukaina Filali Boubrahimi,None
296/2119,Lucio La Cava,None
g/SergioGreco,Sergio Greco,University of Calabria, Cosenza, Italy
